Night,Time_Asleep,%Awake,%REM,%Non-REM,Latency,Efficiency,Efficiency_Grade
2019-03-16,9.058333333333334,13.983440662373505,22.63109475620975,63.38546458141674,0.08333333333333333,86.0165593376265,B
2019-03-17,9.341666666666667,15.165031222123105,15.521855486173058,69.31311329170383,0.008333333333333333,84.8349687778769,C
2019-03-18,9.025,8.86426592797784,21.88365650969529,69.25207756232687,0.10833333333333334,91.13573407202216,A
2019-03-19,8.4,8.234126984126984,20.436507936507937,71.32936507936508,0.041666666666666664,91.76587301587301,A
2019-03-20,9.183333333333334,15.063520871143377,19.328493647912886,65.60798548094374,0.041666666666666664,84.93647912885662,C
2019-03-21,9.075,14.600550964187327,19.4674012855831,65.93204775022957,0.08333333333333333,85.39944903581267,B
2019-03-22,4.966666666666667,12.583892617449665,14.597315436241612,72.81879194630872,0.24166666666666667,87.41610738255034,B
2019-03-23,8.725,13.085004775549189,17.191977077363894,69.72301814708692,0.06666666666666667,86.9149952244508,B
2019-03-24,10.008333333333333,16.153205661948377,18.567860116569527,65.2789342214821,0.175,83.84679433805162,C
2019-03-25,9.233333333333333,13.176895306859207,18.772563176895307,68.05054151624549,0.30833333333333335,86.82310469314079,B
2019-03-26,8.983333333333333,12.987012987012985,20.12987012987013,66.88311688311688,0.175,87.01298701298701,B
2019-03-27,8.116666666666667,14.168377823408623,21.45790554414784,64.37371663244353,0.26666666666666666,85.83162217659137,B
2019-03-28,10.066666666666666,13.741721854304636,19.12251655629139,67.13576158940397,0.275,86.25827814569537,B
2019-03-29,8.433333333333334,11.956521739130435,20.55335968379447,67.4901185770751,0.30833333333333335,88.04347826086956,B
2019-03-30,9.458333333333334,16.82819383259912,18.854625550660792,64.31718061674009,0.10833333333333334,83.17180616740087,C
