Night,Time_Asleep,%Awake,%REM,%Non-REM,Latency,Efficiency,Efficiency_Grade
2019-03-11,3.8333333333333335,6.739130434782608,16.08695652173913,77.17391304347827,0.1,93.26086956521739,A
2019-03-12,6.016666666666667,8.725761772853186,14.958448753462603,76.31578947368422,0.008333333333333333,91.27423822714682,A
2019-03-13,6.075,13.168724279835391,22.770919067215363,64.06035665294925,0.05,86.8312757201646,B
2019-03-14,7.15,9.673659673659674,14.102564102564102,76.22377622377621,0.025,90.32634032634033,A
2019-03-19,7.05,16.312056737588655,19.030732860520093,64.65721040189125,0.08333333333333333,83.68794326241135,C
2019-03-20,8.616666666666667,11.02514506769826,25.918762088974855,63.05609284332688,0.041666666666666664,88.97485493230174,B
2019-03-21,6.366666666666666,11.387434554973822,15.44502617801047,73.1675392670157,0.11666666666666667,88.61256544502618,B
2019-03-26,6.833333333333333,9.75609756097561,26.82926829268293,63.41463414634146,0.008333333333333333,90.2439024390244,A
2019-03-27,6.308333333333334,12.813738441215325,7.001321003963012,80.18494055482167,0.075,87.18626155878468,B
2019-03-28,5.883333333333334,17.847025495750707,6.090651558073654,76.06232294617564,0.13333333333333333,82.1529745042493,C
