Night,Time_Asleep,%Awake,%REM,%Non-REM,Latency,Efficiency,Efficiency_Grade
2019-03-11,3.0166666666666666,14.088397790055248,21.54696132596685,64.3646408839779,0.05,85.91160220994475,B
2019-03-15,3.558333333333333,12.177985948477751,32.08430913348946,55.73770491803278,0.11666666666666667,87.82201405152225,B
2019-03-16,4.841666666666667,14.457831325301203,20.309810671256454,65.23235800344234,0.11666666666666667,85.54216867469879,B
2019-03-16,5.575,11.958146487294469,15.246636771300448,72.79521674140508,0.1,88.04185351270553,B
2019-03-17,11.283333333333333,13.293943870014772,27.695716395864107,59.01033973412112,0.10833333333333334,86.70605612998523,B
2019-03-17,4.041666666666667,12.164948453608247,17.31958762886598,70.51546391752578,0.0,87.83505154639175,B
2019-03-18,10.333333333333334,15.564516129032258,18.467741935483872,65.96774193548387,0.09166666666666666,84.43548387096774,C
2019-03-19,8.633333333333333,16.89189189189189,15.83011583011583,67.27799227799228,0.03333333333333333,83.10810810810811,C
2019-03-20,10.533333333333333,11.629746835443038,17.405063291139243,70.96518987341773,0.008333333333333333,88.37025316455697,B
2019-03-21,10.1,16.666666666666664,35.56105610561056,47.77227722772277,0.18333333333333332,83.33333333333334,C
2019-03-22,4.883333333333334,18.25938566552901,18.600682593856654,63.13993174061433,0.08333333333333333,81.74061433447099,C
2019-03-23,9.166666666666666,16.90909090909091,32.27272727272727,50.81818181818182,0.175,83.0909090909091,C
2019-03-24,4.125,17.575757575757574,13.535353535353536,68.88888888888889,0.025,82.42424242424242,C
2019-03-25,7.733333333333333,18.857758620689655,21.012931034482758,60.129310344827594,0.125,81.14224137931035,C
2019-03-26,3.033333333333333,15.934065934065933,15.659340659340659,68.4065934065934,0.008333333333333333,84.06593406593407,C
2019-03-27,7.25,16.666666666666664,21.26436781609195,62.06896551724138,0.225,83.33333333333334,C
2019-03-28,12.166666666666666,17.397260273972602,27.671232876712327,54.93150684931507,0.008333333333333333,82.6027397260274,C
2019-03-29,9.075,16.89623507805326,18.732782369146005,64.37098255280074,0.06666666666666667,83.10376492194675,C
