Night,Time_Asleep,%Awake,%REM,%Non-REM,Latency,Efficiency,Efficiency_Grade
2019-03-16,7.508333333333334,9.65593784683685,15.98224195338513,74.36182019977802,0.008333333333333333,90.34406215316315,A
2019-03-17,5.833333333333333,14.000000000000002,16.428571428571427,69.57142857142857,0.06666666666666667,86.0,B
2019-03-18,7.091666666666667,14.336075205640423,21.73913043478261,63.924794359576964,0.0,85.66392479435959,B
2019-03-19,8.108333333333333,12.949640287769784,18.396711202466598,68.65364850976363,0.15833333333333333,87.05035971223022,B
2019-03-22,10.133333333333333,11.924342105263158,21.052631578947366,67.02302631578947,0.05,88.07565789473684,B
2019-03-23,8.125,12.923076923076923,18.153846153846153,68.92307692307692,0.016666666666666666,87.07692307692308,B
2019-03-24,8.55,11.793372319688109,20.175438596491226,68.03118908382066,0.05,88.20662768031188,B
2019-03-25,7.391666666666667,13.416009019165728,20.9695603156708,65.61443066516347,0.008333333333333333,86.58399098083427,B
2019-03-26,5.8,8.045977011494253,15.517241379310345,76.4367816091954,0.041666666666666664,91.95402298850574,A
2019-03-27,5.383333333333334,13.46749226006192,17.18266253869969,69.3498452012384,0.05,86.53250773993808,B
2019-03-28,5.983333333333333,12.116991643454039,12.116991643454039,75.76601671309191,0.11666666666666667,87.88300835654597,B
2019-03-29,7.866666666666666,9.639830508474576,24.364406779661017,65.9957627118644,0.0,90.36016949152543,A
2019-03-30,8.241666666666667,11.830131445904954,15.773508594539939,72.3963599595551,0.06666666666666667,88.16986855409505,B
2019-03-31,8.308333333333334,10.932798395185557,24.473420260782348,64.5937813440321,0.09166666666666666,89.06720160481444,B
